labour_force_share,reg_nr,ID,date,pop,mvu_lvu,mvu_lvu_share,urban_share
78.39999999999999,01,Stockholm,2017-07-01,2308143,764202,33.1089538213187,96.80103287609475
75.7,03,Uppsala,2017-07-01,368971,113001,30.625984155936376,81.5441433911973
75.39999999999999,04,Södermanland,2017-07-01,291341,59280,20.34729063193989,84.38557410331605
73.4,05,Östergötland,2017-07-01,457496,117474,25.67760155280046,85.40594757001398
75.8,06,Jönköping,2017-07-01,357237,76403,21.3872023334649,83.82776990371927
73.0,07,Kronoberg,2017-07-01,197519,45558,23.065122848941115,78.6558951554327
73.2,08,Kalmar,2017-07-01,243536,51153,21.00428684054924,79.45674628385343
75.10000000000001,09,Gotland,2017-07-01,58595,12909,22.030890007679837,62.10904148734122
71.5,10,Blekinge,2017-07-01,159371,37250,23.37313563948272,83.35135965389465
74.9,12,Skåne,2017-07-01,1344689,365578,27.186806763496985,90.29500002684817
